201509160060000700000000000000427391000000000000004273919900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427373000000000000004273739900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427374000000000000004273749900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000600000000000000639419000000000000006394199900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138405000000000000001384059900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138406000000000000001384069900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138407000000000000001384079900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138408000000000000001384089900000000000000000000Consumidor Final              000000000060500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138409000000000000001384099900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138410000000000000001384109900000000000000000000Consumidor Final              000000000042000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138411000000000000001384119900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138412000000000000001384129900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138413000000000000001384139900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000800000000000000138414000000000000001384149900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509160060000700000000000000427378000000000000004273789900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150926
201509010060000300000000000000106166000000000000001061669900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000300000000000000106167000000000000001061679900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000300000000000000106168000000000000001061689900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000300000000000000106169000000000000001061699900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000300000000000000106170000000000000001061709900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636919000000000000006369199900000000000000000000Consumidor Final              000000000046000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000300000000000000106171000000000000001061719900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000300000000000000106172000000000000001061729900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425038000000000000004250389900000000000000000000Consumidor Final              000000000048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425039000000000000004250399900000000000000000000Consumidor Final              000000000043000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425040000000000000004250409900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137038000000000000001370389900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137039000000000000001370399900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137040000000000000001370409900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137014000000000000001370149900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137015000000000000001370159900000000000000000000Consumidor Final              000000000018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137016000000000000001370169900000000000000000000Consumidor Final              000000000042000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137017000000000000001370179900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636918000000000000006369189900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636907000000000000006369079900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636908000000000000006369089900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636909000000000000006369099900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636910000000000000006369109900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636915000000000000006369159900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636916000000000000006369169900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636917000000000000006369179900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137012000000000000001370129900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137013000000000000001370139900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636911000000000000006369119900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636912000000000000006369129900000000000000000000Consumidor Final              000000000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636913000000000000006369139900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636914000000000000006369149900000000000000000000Consumidor Final              000000000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137018000000000000001370189900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137033000000000000001370339900000000000000000000Consumidor Final              000000000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137034000000000000001370349900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137035000000000000001370359900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137036000000000000001370369900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137037000000000000001370379900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137019000000000000001370199900000000000000000000Consumidor Final              000000000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137020000000000000001370209900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137021000000000000001370219900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137022000000000000001370229900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137023000000000000001370239900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137024000000000000001370249900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137025000000000000001370259900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137026000000000000001370269900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137027000000000000001370279900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137028000000000000001370289900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137029000000000000001370299900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137030000000000000001370309900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137031000000000000001370319900000000000000000000Consumidor Final              000000000047000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000800000000000000137032000000000000001370329900000000000000000000Consumidor Final              000000000035000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000700000000000000425036000000000000004250369900000000000000000000Consumidor Final              000000000049000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
201509010060000600000000000000636921000000000000006369219900000000000000000000Consumidor Final              000000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001 00000000000000020150911
