201612310060000900000000000000035330000000000000000353309900000000000000000000Consumidor Final              000000000067000000000000067000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724598000000000000007245989900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000900000000000000035331000000000000000353319900000000000000000000Consumidor Final              000000000076000000000000076000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724599000000000000007245999900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724600000000000000007246009900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000800000000000000173719000000000000001737199900000000000000000000Consumidor Final              000000000033000000000000033000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724555000000000000007245559900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724563000000000000007245639900000000000000000000Consumidor Final              000000000069000000000000069000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724564000000000000007245649900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724565000000000000007245659900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724566000000000000007245669900000000000000000000Consumidor Final              000000000078000000000000078000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724567000000000000007245679900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724568000000000000007245689900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724569000000000000007245699900000000000000000000Consumidor Final              000000000092000000000000092000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724570000000000000007245709900000000000000000000Consumidor Final              000000000092000000000000092000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000800000000000000173709000000000000001737099900000000000000000000Consumidor Final              000000000055000000000000055000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724582000000000000007245829900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724573000000000000007245739900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505205000000000000005052059900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505206000000000000005052069900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505207000000000000005052079900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505208000000000000005052089900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505209000000000000005052099900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505212000000000000005052129900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505213000000000000005052139900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505214000000000000005052149900000000000000000000Consumidor Final              000000000092000000000000092000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505215000000000000005052159900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505216000000000000005052169900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724574000000000000007245749900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724575000000000000007245759900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310010000600000000000000008565000000000000000085658000000000217683060012GODALIA S.A                   000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
